"Name","Rank","Number of Births"
"John","1","2707"
"David","2","1695"
"Paul","3","1492"
"Michael","4","1332"
"Patrick","5","1227"
"James","6","1023"
"Brian","7","895"
"Mark","8","878"
"Thomas","9","794"
"Alan","10","735"
"Stephen","11","720"
"Robert","12","579"
"Kevin","13","529"
"Martin","14","502"
"Anthony","15","482"
"William","16","457"
"Peter","17","447"
"Shane","18","438"
"Joseph","19","421"
"Keith","20","418"
"Andrew","21","411"
"Gerard","22","397"
"Brendan","23","389"
"Richard","24","385"
"Niall","25","373"
"Barry","26","359"
"Daniel","27","350"
"Sean","28","346"
"Jason","29","315"
"Declan","30","310"
"Derek","31","301"
"Jonathan","32","290"
"Eoin","33","289"
"Philip","33","289"
"Darren","35","283"
"Ronan","36","277"
"Ian","37","273"
"Kieran","38","268"
"Damien","39","262"
"Conor","40","259"
"Edward","41","254"
"Ciaran","42","253"
"Noel","43","250"
"Christopher","44","249"
"Colin","45","245"
"Kenneth","46","236"
"Aidan","47","230"
"Colm","48","227"
"Gary","49","214"
"Francis","49","214"
"Adrian","51","205"
"Gavin","52","202"
"Liam","53","187"
"Denis","53","187"
"Trevor","55","180"
"Raymond","56","178"
"Gareth","57","177"
"Karl","58","175"
"Graham","59","165"
"Cathal","60","156"
"Timothy","61","155"
"Simon","62","153"
"Neil","62","153"
"Padraig","64","150"
"Seamus","65","148"
"Wayne","66","145"
"Donal","67","144"
"Dermot","68","135"
"Vincent","69","133"
"Enda","70","123"
"Eamonn","71","122"
"Rory","72","117"
"Damian","72","117"
"Cormac","74","111"
"Karol","75","110"
"Owen","76","107"
"Bernard","77","105"
"Nigel","78","101"
"Darragh","79","98"
"Matthew","79","98"
"Nicholas","81","95"
"Ross","82","94"
"Fergal","83","91"
"Hugh","84","88"
"Desmond","85","84"
"Stuart","86","81"
"Eric","87","80"
"Laurence","88","77"
"Fergus","89","76"
"Cornelius","90","75"
"Steven","91","74"
"Gregory","92","73"
"Bryan","93","72"
"Maurice","94","71"
"Terence","94","71"
"Oliver","96","68"
"Justin","97","67"
"Charles","98","64"
"George","98","64"
"Jeremiah","100","61"
"Garrett","101","60"
"Garry","102","59"
"Cian","103","58"
"Aaron","104","56"
"Eoghan","105","55"
"Adam","106","54"
"Eamon","106","54"
"Emmet","108","53"
"Eugene","108","53"
"Diarmuid","110","51"
"Gordon","110","51"
"Luke","112","47"
"Lee","113","46"
"Glen","113","46"
"Padraic","113","46"
"Finbarr","116","44"
"Fintan","117","43"
"Wesley","117","43"
"Daragh","119","42"
"Ruairi","120","40"
"Henry","121","39"
"Carl","121","39"
"Shaun","123","37"
"Marcus","123","37"
"Roy","123","37"
"Clive","123","37"
"Aiden","127","36"
"Gerald","127","36"
"Ivan","129","35"
"Garreth","130","32"
"Micheal","131","31"
"Gearoid","132","30"
"Dara","133","29"
"Samuel","134","28"
"Benjamin","135","27"
"Glenn","135","27"
"Leonard","135","27"
"Edmond","135","27"
"Geoffrey","135","27"
"Dean","140","25"
"Darran","140","25"
"Oisin","142","24"
"Leon","142","24"
"Tomas","142","24"
"Marc","142","24"
"Roger","142","24"
"Jamie","147","23"
"Tristan","147","23"
"Austin","147","23"
"Alexander","150","22"
"Ronald","151","21"
"Tadhg","152","20"
"Scott","152","20"
"Lorcan","152","20"
"Morgan","152","20"
"Jarlath","152","20"
"Garret","152","20"
"Christian","158","19"
"Craig","158","19"
"Pierce","158","19"
"Emmett","158","19"
"Connor","162","18"
"Fiachra","162","18"
"Dominic","162","18"
"Colum","162","18"
"Evan","166","17"
"Leo","166","17"
"Daire","166","17"
"Jeremy","166","17"
"Allen","166","17"
"Cyril","166","17"
"Cillian","172","16"
"Frank","172","16"
"Finbar","172","16"
"Stewart","172","16"
"Dylan","176","15"
"Pearse","176","15"
"Ruaidhri","176","15"
"Jeffrey","176","15"
"Mervyn","176","15"
"Gabriel","181","14"
"Arthur","181","14"
"Myles","181","14"
"Warren","181","14"
"Derrick","181","14"
"Norman","181","14"
"Julian","187","13"
"Edmund","187","13"
"Don","187","13"
"Graeme","187","13"
"Douglas","187","13"
"Donald","187","13"
"Leslie","187","13"
"Killian","194","12"
"Victor","194","12"
"Phillip","194","12"
"Allan","194","12"
"Jerome","194","12"
"Phelim","194","12"
"Bartholomew","194","12"
"Clifford","194","12"
"Gordan","194","12"
"Ryan","203","11"
"Pauric","203","11"
"Dominick","203","11"
"Fearghal","203","11"
"Paraic","203","11"
"Walter","203","11"
"Malcolm","203","11"
"Neill","203","11"
"Donnacha","211","10"
"Jude","211","10"
"Donncha","211","10"
"Donagh","211","10"
"Tony","211","10"
"Hubert","211","10"
