"Name","Rank","Number of Births"
"Mary","1","3471"
"Catherine","2","1412"
"Margaret","3","1392"
"Ann","4","866"
"Anne","5","834"
"Elizabeth","6","722"
"Caroline","7","617"
"Bridget","8","595"
"Geraldine","9","579"
"Patricia","10","536"
"Jacqueline","11","529"
"Pauline","12","460"
"Helen","13","437"
"Deirdre","14","408"
"Bernadette","15","392"
"Sandra","16","358"
"Eileen","17","344"
"Martina","18","339"
"Teresa","19","328"
"Paula","20","311"
"Carmel","21","304"
"Susan","22","303"
"Kathleen","23","301"
"Angela","24","291"
"Josephine","25","287"
"Marie","26","284"
"Ellen","27","282"
"Linda","28","279"
"Brigid","29","272"
"Nora","30","264"
"Joan","31","262"
"Fiona","32","249"
"Maria","33","236"
"Anna","34","214"
"Siobhan","35","207"
"Carol","36","185"
"Sheila","37","176"
"Frances","38","173"
"Sharon","39","172"
"Christina","40","169"
"Karen","41","165"
"Julia","42","157"
"Barbara","43","156"
"Johanna","44","146"
"Yvonne","45","139"
"Sarah","46","137"
"Lorraine","47","135"
"Colette","47","135"
"Rose","49","130"
"Valerie","50","129"
"Veronica","51","126"
"Orla","52","120"
"Miriam","53","117"
"Louise","54","116"
"Clare","55","115"
"Denise","56","113"
"Alice","57","111"
"Elaine","58","107"
"Jane","59","106"
"Rita","59","106"
"Theresa","61","100"
"Grainne","62","99"
"Helena","63","98"
"Brenda","63","98"
"Christine","65","92"
"Noreen","65","92"
"Suzanne","67","91"
"Jennifer","68","90"
"Annette","68","90"
"Monica","70","87"
"Rosemary","71","86"
"Philomena","72","84"
"Olive","72","84"
"Adrienne","74","80"
"Claire","75","78"
"Deborah","76","77"
"Katherine","77","76"
"Jean","78","75"
"Marian","78","75"
"Maeve","80","74"
"Dolores","80","74"
"Rosaleen","80","74"
"Edel","83","73"
"Evelyn","83","73"
"Irene","85","72"
"Audrey","85","72"
"Ruth","87","70"
"Una","87","70"
"Imelda","87","70"
"Nuala","90","68"
"Hannah","91","67"
"Maureen","91","67"
"Jacinta","93","66"
"Winifred","93","66"
"Dorothy","95","65"
"Antoinette","95","65"
"Majella","95","65"
"Eleanor","98","64"
"Ursula","98","64"
"Aileen","100","63"
"Agnes","101","61"
"Esther","102","60"
"Regina","102","60"
"Noeleen","104","59"
"Michele","105","58"
"Janet","106","56"
"Gillian","107","55"
"Emer","108","54"
"Niamh","109","53"
"Sinead","109","53"
"Dympna","109","53"
"Annie","112","49"
"Maire","113","48"
"Michelle","114","47"
"Mairead","114","47"
"Martha","116","45"
"Pamela","116","45"
"Grace","118","44"
"Gabrielle","118","44"
"Amanda","118","44"
"Sylvia","118","44"
"Ita","118","44"
"June","118","44"
"Shirley","124","43"
"Fidelma","125","42"
"Eithne","126","41"
"Anastasia","127","40"
"Therese","127","40"
"Hilary","129","39"
"Anita","130","38"
"Laura","131","37"
"Breda","131","37"
"Aine","133","36"
"Judith","133","36"
"Fionnuala","135","34"
"Norah","135","34"
"Concepta","135","34"
"Celine","138","33"
"Marcella","138","33"
"Stephanie","140","31"
"Madeline","140","31"
"Noelle","140","31"
"Georgina","143","30"
"Marion","143","30"
"Cora","145","27"
"Ciara","146","26"
"Alison","146","26"
"Florence","146","26"
"Clodagh","149","25"
"Gemma","149","25"
"Lorna","149","25"
"Joyce","149","25"
"Finola","149","25"
"Lucy","154","24"
"Roisin","154","24"
"Aisling","154","24"
"Hazel","154","24"
"Julie","154","24"
"Assumpta","154","24"
"Gertrude","154","24"
"Loraine","154","24"
"Carole","162","23"
"Jeanette","162","23"
"Vivienne","164","22"
"Maura","164","22"
"Hanora","164","22"
"Heather","167","21"
"Kathryn","167","21"
"Catriona","167","21"
"Cecilia","167","21"
"Olivia","171","20"
"Charlotte","171","20"
"Aideen","171","20"
"Caitriona","171","20"
"Brid","171","20"
"Donna","171","20"
"Doreen","171","20"
"Susanne","171","20"
"Sara","179","19"
"Emily","180","18"
"Rachel","180","18"
"Nicola","180","18"
"Joanne","180","18"
"Collette","180","18"
"Loretta","180","18"
"Belinda","186","17"
"Gwendoline","186","17"
"Oonagh","186","17"
"Eilish","189","16"
"Rosanna","189","16"
"Cecelia","189","16"
"Gerardine","189","16"
"Hilda","189","16"
"Avril","194","15"
"Lilian","194","15"
"Susanna","194","15"
"Vivian","194","15"
"Carolyn","194","15"
"Jacintha","194","15"
"Lynda","194","15"
"Marina","201","14"
"Ingrid","201","14"
"Janette","201","14"
"Lesley","201","14"
"Norma","201","14"
"Aoife","206","13"
"Kim","206","13"
"Sally","206","13"
"Wendy","206","13"
"Rosemarie","206","13"
"Violet","206","13"
"Graine","206","13"
"Marguerite","206","13"
"Rosarie","206","13"
"Rebecca","215","12"
"Diane","215","12"
"Moira","215","12"
"Cathriona","215","12"
"Muriel","215","12"
"Siobhain","215","12"
"Nula","215","12"
"Alexandra","222","11"
"Lisa","222","11"
"Dora","222","11"
"Ethel","222","11"
"Cliona","226","10"
"Diana","226","10"
"Joanna","226","10"
"Katrina","226","10"
"Eilis","226","10"
"Doris","226","10"
"Ethna","226","10"
"Loreto","226","10"
"Isobel","234","9"
"Juliet","234","9"
"Beatrice","234","9"
"Delia","234","9"
"Honor","234","9"
"Roberta","234","9"
"Daphne","234","9"
"Eimer","234","9"
"Janice","234","9"
"Jude","234","9"
"Raphael","234","9"
"Emma","245","8"
"Rachael","245","8"
"Hanna","245","8"
"Tracy","245","8"
"Edith","245","8"
"Darina","245","8"
"Gail","245","8"
"Karin","245","8"
"Sheelagh","245","8"
"Verona","245","8"
"Virginia","245","8"
"Camillus","245","8"
"Eva","257","7"
"Lucia","257","7"
"Louisa","257","7"
"Robin","257","7"
"Genevieve","257","7"
"Nell","257","7"
"Leonie","257","7"
"Cynthia","257","7"
"Sabina","257","7"
"Bernice","257","7"
"Rhona","257","7"
"Anastatia","257","7"
"Attracta","257","7"
"Fionnula","257","7"
"Hanorah","257","7"
"Mildred","257","7"
"Finula","257","7"
"Carla","274","6"
"Ashling","274","6"
"Natalie","274","6"
"Jill","274","6"
"Stella","274","6"
"Aislinn","274","6"
"Dawn","274","6"
"Orlagh","274","6"
"Gloria","274","6"
"Derval","274","6"
